"Search interest in 'register to vote' by UK location over the last 7 days
All values indexed to 100, where 100 is the max value. ",,,,,,,,,,,,,,,,,,,,,,,,,
Location,"Search interest, indexed values",Constituency,Party 2015,MP 2015,Majority 2015,,,,,,,,,,,,,,,,,,,,
Pendeen (England United Kingdom),100,St Ives,Conservative,Derek Thomas,2469,Gain from LD,,,,,,,,,,,,,,,,,,,
Ponsanooth (England United Kingdom),90,Camborne and Redruth,Conservative,George Eustice,7004,Con Hold,,,,,,,,,,,,,,,,,,,
Ironbridge (England United Kingdom),89,Telford,Conservative,Lucy Allan,730,Gain from Lab,,,,,,,,,,,,,,,,,,,
Whimple (England United Kingdom),78,East Devon,Conservative,Hugo Swire,12261,Con Hold,,,,,,,,,,,,,,,,,,,
Allithwaite (England United Kingdom),77,Westmorland and Lonsdale,Lib Dem,Tim Farron,8949,Lib Dem Hold,,,,,,,,,,,,,,,,,,,
Heslington (England United Kingdom),73,York Outer,Conservative,Julian Sturdy,13099,Con Hold,,,,,,,,,,,,,,,,,,,
Langford (England United Kingdom),68,North East Bedfordshire,Conservative,Alistair Burt,25644,Con Hold,,,,,,,,,,,,,,,,,,,
Westcott (England United Kingdom),68,Mole Valley,Conservative,Sir Paul Beresford,25453,Con Hold,,,,,,,,,,,,,,,,,,,
Horspath (England United Kingdom),68,Henley,Conservative,John Howell,25375,Con Hold,,,,,,,,,,,,,,,,,,,
Scholes (England United Kingdom),66,,,,,,,,,,,,,,,,,,,,,,,,
Bodiam (England United Kingdom),61,,,,,,,,,,,,,,,,,,,,,,,,
Hutton Cranswick (England United Kingdom),61,,,,,,,,,,,,,,,,,,,,,,,,
Portree (Scotland United Kingdom),58,,,,,,,,,,,,,,,,,,,,,,,,
Northop Hall (Wales United Kingdom),57,,,,,,,,,,,,,,,,,,,,,,,,
Blean (England United Kingdom),56,,,,,,,,,,,,,,,,,,,,,,,,
Cherry Willingham (England United Kingdom),56,,,,,,,,,,,,,,,,,,,,,,,,
Great Gonerby (England United Kingdom),55,,,,,,,,,,,,,,,,,,,,,,,,
Penycae (Wales United Kingdom),54,,,,,,,,,,,,,,,,,,,,,,,,
Silkstone (England United Kingdom),54,,,,,,,,,,,,,,,,,,,,,,,,
Bulford (England United Kingdom),54,,,,,,,,,,,,,,,,,,,,,,,,
Naphill (England United Kingdom),53,,,,,,,,,,,,,,,,,,,,,,,,
Bryncethin (Wales United Kingdom),53,,,,,,,,,,,,,,,,,,,,,,,,
Broadclyst (England United Kingdom),52,,,,,,,,,,,,,,,,,,,,,,,,
Todwick (England United Kingdom),52,,,,,,,,,,,,,,,,,,,,,,,,
Child Okeford (England United Kingdom),51,,,,,,,,,,,,,,,,,,,,,,,,
Cwmllynfell (Wales United Kingdom),49,,,,,,,,,,,,,,,,,,,,,,,,
Lewes (England United Kingdom),49,,,,,,,,,,,,,,,,,,,,,,,,
Norton Fitzwarren (England United Kingdom),48,,,,,,,,,,,,,,,,,,,,,,,,
Stithians (England United Kingdom),48,,,,,,,,,,,,,,,,,,,,,,,,
Weaverham (England United Kingdom),47,,,,,,,,,,,,,,,,,,,,,,,,
Ashcott (England United Kingdom),47,,,,,,,,,,,,,,,,,,,,,,,,
Moretonhampstead (England United Kingdom),47,,,,,,,,,,,,,,,,,,,,,,,,
Severn Beach (England United Kingdom),47,,,,,,,,,,,,,,,,,,,,,,,,
Bampton (England United Kingdom),47,,,,,,,,,,,,,,,,,,,,,,,,
Rawcliffe (England United Kingdom),46,,,,,,,,,,,,,,,,,,,,,,,,
Penmaenmawr (Wales United Kingdom),46,,,,,,,,,,,,,,,,,,,,,,,,
Elton (England United Kingdom),46,,,,,,,,,,,,,,,,,,,,,,,,
Cwm (Wales United Kingdom),46,,,,,,,,,,,,,,,,,,,,,,,,
Holme-on-Spalding-Moor (England United Kingdom),46,,,,,,,,,,,,,,,,,,,,,,,,
Denby Dale (England United Kingdom),46,,,,,,,,,,,,,,,,,,,,,,,,
Wybunbury (England United Kingdom),45,,,,,,,,,,,,,,,,,,,,,,,,
Ambergate (England United Kingdom),44,,,,,,,,,,,,,,,,,,,,,,,,
Holmbridge (England United Kingdom),43,,,,,,,,,,,,,,,,,,,,,,,,
Bath (England United Kingdom),43,,,,,,,,,,,,,,,,,,,,,,,,
Muir of Ord (Scotland United Kingdom),43,,,,,,,,,,,,,,,,,,,,,,,,
Tregaron (Wales United Kingdom),42,,,,,,,,,,,,,,,,,,,,,,,,
Halling (England United Kingdom),42,,,,,,,,,,,,,,,,,,,,,,,,
Backworth (England United Kingdom),42,,,,,,,,,,,,,,,,,,,,,,,,
Bulford Camp (England United Kingdom),42,,,,,,,,,,,,,,,,,,,,,,,,
Wheaton Aston (England United Kingdom),41,,,,,,,,,,,,,,,,,,,,,,,,
Cawston (England United Kingdom),41,,,,,,,,,,,,,,,,,,,,,,,,
Great Missenden (England United Kingdom),41,,,,,,,,,,,,,,,,,,,,,,,,
South Cave (England United Kingdom),40,,,,,,,,,,,,,,,,,,,,,,,,
Saltney (Wales United Kingdom),40,,,,,,,,,,,,,,,,,,,,,,,,
Fairford (England United Kingdom),40,,,,,,,,,,,,,,,,,,,,,,,,
Beaufort (Wales United Kingdom),39,,,,,,,,,,,,,,,,,,,,,,,,
Girton (England United Kingdom),39,,,,,,,,,,,,,,,,,,,,,,,,
Clapham (England United Kingdom),39,,,,,,,,,,,,,,,,,,,,,,,,
Cullingworth (England United Kingdom),38,,,,,,,,,,,,,,,,,,,,,,,,
Wardle (England United Kingdom),38,,,,,,,,,,,,,,,,,,,,,,,,
Llanbadarn Fawr (Wales United Kingdom),38,,,,,,,,,,,,,,,,,,,,,,,,
Kirkby-in-Furness (England United Kingdom),38,,,,,,,,,,,,,,,,,,,,,,,,
Fordingbridge (England United Kingdom),38,,,,,,,,,,,,,,,,,,,,,,,,
Kenilworth (England United Kingdom),37,,,,,,,,,,,,,,,,,,,,,,,,
Pontesbury (England United Kingdom),37,,,,,,,,,,,,,,,,,,,,,,,,
Saint Mary's Island (England United Kingdom),37,,,,,,,,,,,,,,,,,,,,,,,,
Forres (Scotland United Kingdom),37,,,,,,,,,,,,,,,,,,,,,,,,
Wincham (England United Kingdom),37,,,,,,,,,,,,,,,,,,,,,,,,
Stocksbridge (England United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Willsbridge (England United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Feniton (England United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Lyminge (England United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Torphins (Scotland United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Market Weighton (England United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Charminster (England United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Wylam (England United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Catterick (England United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Winsley (England United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Wittering (England United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Port Tennant (Wales United Kingdom),36,,,,,,,,,,,,,,,,,,,,,,,,
Leominster (England United Kingdom),35,,,,,,,,,,,,,,,,,,,,,,,,
Holmer Green (England United Kingdom),35,,,,,,,,,,,,,,,,,,,,,,,,
Long Itchington (England United Kingdom),35,,,,,,,,,,,,,,,,,,,,,,,,
