Location,"Search interest, indexed values",Constituency,Party 2015,MP 2015,Majority 2015,,,,,,,,,,,,,,,,,,,,
Willesborough (England United Kingdom),100,Ashford,Conservative,Damian Green,19296,,,,,,,,,,,,,,,,,,,,
Chorley (England United Kingdom),87,Chorley,Labour,Lindsay Hoyle,4530,,,,,,,,,,,,,,,,,,,,
Guston (England United Kingdom),33,Dover,Conservative,Charlie Elphicke,6294,,,,,,,,,,,,,,,,,,,,
Highbridge (England United Kingdom),29,Wells,Conservative,James Heappey,7585,,,,,,,,,,,,,,,,,,,,
Frittenden (England United Kingdom),25,Maidstone and the Weald,Conservative,Helen Grant,10709,,,,,,,,,,,,,,,,,,,,
Lower Dicker (England United Kingdom),23,Wealden,Conservative,Nus Ghani,22967,,,,,,,,,,,,,,,,,,,,
Sutton (England United Kingdom),20,Sutton and Cheam,Conservative,Paul Scully,3921,,,,,,,,,,,,,,,,,,,,
Caergwrle (Wales United Kingdom),20,Alyn and Deeside,Labour,Mark Tami,3343,,,,,,,,,,,,,,,,,,,,
Curdridge (England United Kingdom),20,Meon Valley,Conservative,George Hollingberry,23913,,,,,,,,,,,,,,,,,,,,
Langar (England United Kingdom),19,Rushcliffe,Conservative,Kenneth Clarke,13829,,,,,,,,,,,,,,,,,,,,
Catcliffe (England United Kingdom),18,,,,,,,,,,,,,,,,,,,,,,,,
Cuxton (England United Kingdom),18,,,,,,,,,,,,,,,,,,,,,,,,
Alford (Scotland United Kingdom),17,,,,,,,,,,,,,,,,,,,,,,,,
Shap (England United Kingdom),16,,,,,,,,,,,,,,,,,,,,,,,,
Bleadon (England United Kingdom),16,,,,,,,,,,,,,,,,,,,,,,,,
Nutley (England United Kingdom),16,,,,,,,,,,,,,,,,,,,,,,,,
New Tupton (England United Kingdom),16,,,,,,,,,,,,,,,,,,,,,,,,
Hampreston (England United Kingdom),15,,,,,,,,,,,,,,,,,,,,,,,,
Salhouse (England United Kingdom),15,,,,,,,,,,,,,,,,,,,,,,,,
Stalmine (England United Kingdom),14,,,,,,,,,,,,,,,,,,,,,,,,
Todwick (England United Kingdom),14,,,,,,,,,,,,,,,,,,,,,,,,
Ryhill (England United Kingdom),14,,,,,,,,,,,,,,,,,,,,,,,,
East Wittering (England United Kingdom),14,,,,,,,,,,,,,,,,,,,,,,,,
Deeping Saint Nicholas (England United Kingdom),14,,,,,,,,,,,,,,,,,,,,,,,,
Marks Tey (England United Kingdom),13,,,,,,,,,,,,,,,,,,,,,,,,
Hunwick (England United Kingdom),13,,,,,,,,,,,,,,,,,,,,,,,,
Four Lanes (England United Kingdom),13,,,,,,,,,,,,,,,,,,,,,,,,
Blean (England United Kingdom),13,,,,,,,,,,,,,,,,,,,,,,,,
West Town (England United Kingdom),13,,,,,,,,,,,,,,,,,,,,,,,,
Thongsbridge (England United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Ingatestone (England United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Capel Saint Mary (England United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Acton (England United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Orwell (England United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Oakworth (England United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Billinghay (England United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Aberaeron (Wales United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Llysfaen (Wales United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Child Okeford (England United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Cross Roads (England United Kingdom),12,,,,,,,,,,,,,,,,,,,,,,,,
Lewes (England United Kingdom),11,,,,,,,,,,,,,,,,,,,,,,,,
Greatstone (England United Kingdom),11,,,,,,,,,,,,,,,,,,,,,,,,
Knockholt (England United Kingdom),11,,,,,,,,,,,,,,,,,,,,,,,,
Frizington (England United Kingdom),11,,,,,,,,,,,,,,,,,,,,,,,,
Woodborough (England United Kingdom),11,,,,,,,,,,,,,,,,,,,,,,,,
Thorrington (England United Kingdom),11,,,,,,,,,,,,,,,,,,,,,,,,
Watchet (England United Kingdom),11,,,,,,,,,,,,,,,,,,,,,,,,
Heckington (England United Kingdom),11,,,,,,,,,,,,,,,,,,,,,,,,
Par (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Wareham (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Fairlight (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Pirton (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Hayle (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Redcar (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Whittington (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
North Warnborough (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Wrington (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Great Blakenham (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Harbledown (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Goosnargh (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Thurlstone (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Cwmdare (Wales United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Audlem (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Lanivet (England United Kingdom),10,,,,,,,,,,,,,,,,,,,,,,,,
Milton-under-Wychwood (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Miskin (Wales United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Weldon (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
New Barn (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Marple Bridge (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Bosham (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Holmfirth (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Barham (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Great Gonerby (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Grasscroft (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Waltham (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Breaston (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Renishaw (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Llandeilo (Wales United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Ely (England United Kingdom),9,,,,,,,,,,,,,,,,,,,,,,,,
Claypole (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Saint Dogmaels (Wales United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Blisworth (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Beare Green (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Willsbridge (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Charlwood (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Wing (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Northiam (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Stretton-on-Dunsmore (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Aberporth (Wales United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Stone (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
North Leigh (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Wickham Market (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Warton (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Crondall (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Hertford Heath (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Birdham (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Skidby (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Huntington (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Ambergate (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Mitcheldean (England United Kingdom),8,,,,,,,,,,,,,,,,,,,,,,,,
Tongwynlais (Wales United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Beverley (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Caton (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Curdworth (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Radley (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Widley (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Sibsey (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Whissendine (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Wrea Green (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Winwick (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Deddington (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Woodmancote (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Feering (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Ipplepen (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Boreham (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Morganstown (Wales United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Sutton Bonington (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Little Eaton (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Winsley (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Minstead (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Tuxford (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Mattishall (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Dyffryn Ardudwy (Wales United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Braunston (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Bishop Sutton (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Kingsley (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Girton (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Christleton (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Chopwell (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Harpole (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Llanharan (Wales United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Penperlleni (Wales United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Melbourne (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Bridgnorth (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Kingswood (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Heighington (England United Kingdom),7,,,,,,,,,,,,,,,,,,,,,,,,
Bath (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Princetown (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Tiverton (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Great Bardfield (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Bunwell (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Backwell (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Walkington (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Donnington (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Copmanthorpe (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Stanwell Moor (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Wateringbury (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
New Inn (Wales United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Kimbolton (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Arundel (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Shelley (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Hythe (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Marshfield (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Coltishall (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Brill (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Great Eccleston (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Pool (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Compton (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Hambleton (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Minster (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Marlborough (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Stoke-sub-Hamdon (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
Harthill (England United Kingdom),6,,,,,,,,,,,,,,,,,,,,,,,,
